country_region,last_update,lat,long,confirmed,deaths,recovered,active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Cote d'Ivoire,5/8/2020 4:32,7.54,-5.5471,1571,20,742,809,5.955658586,,,1.273074475,384,CIV
Croatia,5/8/2020 4:32,45.1,15.2,2125,86,1641,398,51.76275946,,,4.047058824,191,HRV
Cuba,5/8/2020 4:32,21.521757,-77.781167,1729,73,1031,625,15.26492997,,,4.222093696,192,CUB
Cyprus,5/8/2020 4:32,35.1264,33.4299,889,15,400,474,73.63166443,,,1.687289089,196,CYP
Czechia,5/8/2020 4:32,49.8175,15.473,8031,270,4371,3390,74.9931226,,,3.361972357,203,CZE
Diamond Princess,5/8/2020 4:32,,,712,13,645,54,,,,1.825842697,9999,
Djibouti,5/8/2020 4:32,11.8251,42.5903,1133,3,799,331,114.6758812,,,0.26478376,262,DJI
Dominica,5/8/2020 4:32,15.415,-61.371,16,0,14,2,22.22500035,,,0,212,DMA
Dominican Republic,5/8/2020 4:32,18.7357,-70.1627,9095,373,2064,6658,83.84108119,,,4.10115448,214,DOM
Ecuador,5/8/2020 4:32,-1.8312,-78.1834,30298,1654,3433,25211,171.7275801,,,5.459106212,218,ECU
Egypt,5/8/2020 4:32,26.820553,30.802498,7981,482,1887,5612,7.798941281,,,6.039343441,818,EGY
El Salvador,5/8/2020 4:32,13.7942,-88.8965,695,15,252,428,10.71505493,,,2.158273381,222,SLV
Equatorial Guinea,5/8/2020 4:32,1.6508,10.2679,439,4,13,422,31.2904272,,,0.911161731,226,GNQ
Eritrea,5/8/2020 4:32,15.1794,39.7823,39,0,30,9,1.099698372,,,0,232,ERI
Estonia,5/8/2020 4:32,58.5953,25.0136,1720,56,273,1391,129.6607186,,,3.255813953,233,EST
Eswatini,5/8/2020 4:32,-26.5225,31.4659,153,2,12,139,13.18779069,,,1.307189542,748,SWZ
Ethiopia,5/8/2020 4:32,9.145,40.4897,191,4,93,94,0.166139568,,,2.094240838,231,ETH
Fiji,5/8/2020 4:32,-17.7134,178.065,18,0,14,4,2.007933569,,,0,242,FJI
Gabon,5/8/2020 4:32,-0.8037,11.6094,504,8,110,386,22.64427639,,,1.587301587,266,GAB
Gambia,5/8/2020 4:32,13.4432,-15.3101,18,1,9,8,0.744828408,,,5.555555556,270,GMB
Georgia,5/8/2020 4:32,42.3154,43.3569,615,9,275,331,15.4167215,,,1.463414634,268,GEO
Ghana,5/8/2020 4:32,7.9465,-1.0232,3091,18,303,2770,9.94756049,,,0.582335814,288,GHA
Greece,5/8/2020 4:32,39.0742,21.8243,2678,148,1374,1156,25.69304051,,,5.526512323,300,GRC
Grenada,5/8/2020 4:32,12.1165,-61.679,21,0,13,8,18.66351461,,,0,308,GRD
Guatemala,5/8/2020 4:32,15.7835,-90.2308,832,23,90,719,4.644005964,,,2.764423077,320,GTM
Guinea,5/8/2020 4:32,9.9456,-9.6966,1927,11,629,1287,14.67319364,,,0.570835496,324,GIN
Guinea-Bissau,5/8/2020 4:32,11.8037,-15.1804,564,2,25,537,28.65856571,,,0.354609929,624,GNB
Guyana,5/8/2020 4:32,4.860416,-58.93018,93,10,27,56,11.82365214,,,10.75268817,328,GUY
Haiti,5/8/2020 4:32,18.9712,-72.2852,129,12,16,101,1.131327574,,,9.302325581,332,HTI
Holy See,5/8/2020 4:32,41.9029,12.4534,12,0,2,10,1483.312732,,,0,336,VAT
Honduras,5/8/2020 4:32,15.2,-86.2419,1685,105,154,1426,17.01228358,,,6.231454006,340,HND
Hungary,5/8/2020 4:32,47.1625,19.5033,3150,383,801,1966,32.60751422,,,12.15873016,348,HUN
India,5/8/2020 4:32,20.593684,78.96288,56383,1889,16776,37718,4.085711655,,,3.350300623,356,IND
Indonesia,5/8/2020 4:32,-0.7893,113.9213,12776,930,2381,9465,4.670894584,,,7.279273638,360,IDN
Iran,5/8/2020 4:32,32.427908,53.688046,103135,6486,82744,13905,122.7900631,,,6.288844718,364,IRN
Iraq,5/8/2020 4:32,33.223191,43.679291,2543,102,1626,815,6.322331557,,,4.011010617,368,IRQ
Israel,5/8/2020 4:32,31.046051,34.851612,16381,240,10873,5268,189.2544903,,,1.46511202,376,ISR
Jamaica,5/8/2020 4:32,18.1096,-77.2975,488,9,58,421,16.48002253,,,1.844262295,388,JAM
Japan,5/8/2020 4:32,36.204824,138.252924,15477,577,4918,9982,12.23705996,,,3.728112683,392,JPN
Jordan,5/8/2020 4:32,31.24,36.51,494,9,381,104,4.841646787,,,1.821862348,400,JOR
Kazakhstan,5/8/2020 4:32,48.0196,66.9237,4578,30,1518,3030,24.38127197,,,0.655307995,398,KAZ
Kenya,5/8/2020 4:32,-0.0236,37.9062,607,29,197,381,1.128854984,,,4.777594728,404,KEN
"Korea, South",5/8/2020 4:32,35.907757,127.766922,10822,256,9484,1082,21.10819671,,,2.365551654,410,KOR
Kosovo,5/8/2020 4:32,42.602636,20.902977,861,27,562,272,47.55944378,,,3.135888502,383,XKS
Kuwait,5/8/2020 4:32,29.31166,47.481766,6567,44,2381,4142,153.7736359,,,0.67001675,414,KWT
Kyrgyzstan,5/8/2020 4:32,41.20438,74.766098,906,12,650,244,13.88677922,,,1.324503311,417,KGZ
Laos,5/8/2020 4:32,19.85627,102.495496,19,0,9,10,0.261148426,,,0,418,LAO
Latvia,5/8/2020 4:32,56.8796,24.6032,909,18,464,427,48.19208123,,,1.98019802,428,LVA
